Gen:        Fevals:          Best:   Improvement:     Mutations:
   2388           2388        3312.67        122.754              2
   2398           2398        3302.29        10.3824              1
   2402           2402         3301.6       0.693294              1
   2432           2432        3298.94         2.6538              1
   2433           2433        3298.88      0.0623131              1
   2435           2435        3298.33       0.548656              1
   2445           2445        3281.03        17.2994              1
   2450           2450        3161.94        119.088              1
   2459           2459        3157.69        4.25957              2
   2471           2471        3156.82       0.862747              1
   2475           2475        3143.98        12.8423              1
   2479           2479        3132.51         11.467              1
   2489           2489        3131.27        1.24501              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   2494           2494        3129.62        1.65175              2
   2499           2499        3093.18        36.4365              2
   2507           2507         3078.8        14.3779              1
   2509           2509        3076.92        1.88237              1
   2523           2523        3075.12        1.79858              1
   2524           2524        3074.72       0.400803              1
   2526           2526        3074.11       0.610455              1
   2537           2537        3072.02         2.0888              1
   2540           2540           3070        2.02102              1
   2554           2554        3063.67        6.32753              1
   2567           2567        3059.92        3.75068              1
   2581           2581        3058.31        1.61202              1
   2583           2583         3056.4         1.9117              1
   2607           2607        3043.38        13.0149              2
   2611           2611        3043.26       0.119965              1
   2615           2615        3041.69        1.57814              1
   2616           2616        3034.22        7.46864              2
   2617           2617        3033.92        0.30025              1
   2621           2621         3025.3        8.61708              1
   2622           2622        3019.59        5.71104              1
   2626           2626        2966.39         53.195              1
   2645           2645        2907.07        59.3181              1
   2653           2653        2847.68        59.3928              1
   2674           2674        2847.43       0.250315              1
   2676           2676        2845.72        1.70844              1
   2677           2677        2825.67        20.0495              2
   2698           2698        2819.65         6.0241              1
   2706           2706        2819.49       0.164066              1
   2713           2713        2818.98        0.50716              2
   2715           2715        2808.33        10.6527              2
   2728           2728        2753.44        54.8866              2
   2736           2736        2750.09         3.3539              1
   2741           2741         2746.4         3.6901              2
   2742           2742        2744.42        1.97325              2
   2754           2754        2735.31        9.10892              2
   2767           2767        2723.27        12.0452              1
   2769           2769        2700.54        22.7323              1
   2776           2776        2686.76        13.7799              2
   2778           2778         2663.8        22.9605              3
