Gen:        Fevals:          Best:   Improvement:     Mutations:
   1089           1089        6016.87         7.2871              1
   1091           1091        6004.49         12.375              1
   1106           1106        6000.99        3.49886              1
   1107           1107        5987.22         13.768              1
   1111           1111         5978.7        8.52511              1
   1114           1114        5978.47       0.230502              2
   1115           1115        5978.29       0.175018              1
   1117           1117        5967.52        10.7711              1
   1119           1119         5967.3       0.222351              1
   1133           1133        5958.37        8.93161              1
   1134           1134        5946.56        11.8069              1
   1139           1139        5944.54         2.0206              2
   1150           1150        5934.51        10.0289              4
   1151           1151         5910.1        24.4078              1
   1152           1152        5892.82        17.2806              1
   1154           1154        5890.88         1.9488              1
   1157           1157        5885.75        5.12872              2
   1160           1160         5879.7        6.04431              1
   1174           1174        5855.35        24.3487              3
   1181           1181        5855.19       0.162549              1
   1186           1186        5849.04        6.14578              2
   1190           1190        5848.74       0.304355              1
   1197           1197         5848.6       0.138371              1
   1200           1200        5834.67        13.9367              1
   1201           1201        5823.85        10.8125              1
   1202           1202        5822.09        1.76021              2
   1205           1205        5806.63         15.459              1
   1207           1207        5782.21        24.4217              2
   1208           1208        5736.33        45.8863              2
   1209           1209        5733.43        2.89558              1
   1223           1223        5732.48       0.946689              1
   1231           1231         5726.3        6.18172              1
   1234           1234        5709.84        16.4631              1
   1235           1235        5704.17        5.66809              1
   1236           1236        5686.84        17.3292              2
   1239           1239         5671.9         14.941              1
   1241           1241        5669.55        2.34815              2
   1243           1243        5668.38        1.17276              2
   1251           1251        5667.44       0.935869              1
   1256           1256         5619.1        48.3463              1
   1259           1259        5592.09        27.0026              1
   1280           1280         5576.5         15.596              2
   1283           1283        5553.98         22.516              1
   1290           1290        5518.77        35.2139              2
   1292           1292        5516.66        2.10504              1
   1295           1295        5509.05           7.61              1
   1297           1297        5497.19        11.8606              1
   1300           1300           5484        13.1887              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   1310           1310        5479.52        4.48851              1
   1311           1311        5443.91        35.6069              2
   1313           1313        5430.73        13.1752              1
   1320           1320        5392.97        37.7609              1
   1321           1321        5352.99        39.9856              1
   1328           1328        5343.06        9.92524              1
   1330           1330        5341.61        1.44782              2
   1331           1331        5309.99        31.6258              1
   1336           1336        5300.35        9.64235              1
   1340           1340        5282.41        17.9311              1
   1342           1342        5263.91        18.5085              1
   1350           1350        5256.71        7.19397              1
   1352           1352        5254.84          1.871              1
   1356           1356         5231.3        23.5373              1
   1361           1361        5230.84       0.468224              1
   1363           1363        5197.11        33.7256              1
   1376           1376        5194.47        2.63946              1
   1377           1377        5179.27         15.196              1
   1378           1378        5168.89        10.3865              1
   1386           1386        5167.85        1.03776              1
   1396           1396        5166.51        1.33994              2
   1397           1397        5164.05        2.46101              1
   1407           1407        5159.03        5.02218              2
   1411           1411        5145.96        13.0712              1
   1413           1413         5143.5        2.45917              1
   1417           1417        5136.87        6.62829              1
   1421           1421        5126.34         10.526              1
   1424           1424        5124.85        1.49642              3
   1429           1429        5082.27        42.5763              3
   1430           1430        5072.24        10.0292              1
   1436           1436         5062.8        9.44059              1
   1455           1455        5054.01        8.78727              1
   1456           1456        5042.31        11.7075              1
   1462           1462        5040.83        1.47683              1
   1466           1466        5036.57        4.25683              1
   1473           1473        5017.91        18.6661              1
   1475           1475        5005.59        12.3142              1
   1486           1486        4998.56        7.03191              1
   1487           1487        4993.46        5.09971              1
   1488           1488        4986.66        6.79507              1
   1496           1496         4977.1        9.56063              1
   1500           1500         4960.5         16.603              1
   1504           1504        4953.32        7.18272              1
   1506           1506        4949.74        3.57608              1
   1510           1510        4937.86        11.8779              3
   1511           1511        4928.23        9.63104              2
   1512           1512        4918.97        9.26697              1
   1517           1517        4915.09        3.87766              1
   1520           1520         4906.2        8.89255              1
   1521           1521        4903.59        2.61106              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   1527           1527        4902.61       0.975266              1
   1528           1528        4899.84        2.76708              1
   1529           1529        4882.32        17.5242              1
   1536           1536        4869.53        12.7887              1
   1542           1542        4855.58        13.9542              1
   1555           1555        4846.55        9.02639              1
   1561           1561        4837.26        9.29093              1
   1570           1570        4801.16        36.0971              2
   1575           1575        4799.42        1.74215              1
   1581           1581        4782.44        16.9749              1
   1584           1584        4780.78        1.66809              2
   1587           1587        4751.72        29.0539              1
   1593           1593        4737.83        13.8904              2
   1600           1600        4736.63         1.2051              1
   1602           1602        4731.53        5.09184              1
   1612           1612        4730.19         1.3466              1
   1614           1614        4706.96        23.2233              1
   1618           1618        4688.75        18.2185              2
   1623           1623        4677.29        11.4545              1
   1624           1624        4663.55        13.7403              1
   1629           1629        4663.02       0.529743              2
   1632           1632        4660.43        2.59634              1
   1634           1634        4659.54       0.885931              1
   1640           1640        4654.05        5.48786              2
   1644           1644        4592.44        61.6109              2
   1645           1645        4591.26        1.17972              1
   1646           1646         4553.7         37.565              2
   1648           1648        4541.27        12.4238              1
   1652           1652        4524.53        16.7415              5
   1654           1654        4517.82        6.71565              1
   1657           1657        4502.26        15.5539              2
   1668           1668        4492.79        9.46675              1
   1674           1674         4492.4       0.395735              1
   1679           1679        4489.65        2.74878              2
   1680           1680        4488.56        1.09273              1
   1684           1684        4486.72        1.84022              1
   1687           1687        4484.77        1.94655              1
   1691           1691        4477.23        7.54125              1
   1693           1693        4455.41        21.8231              2
   1699           1699         4453.9        1.50402              2
   1701           1701        4441.76        12.1412              1
   1722           1722        4430.51        11.2528              1
   1726           1726         4421.6        8.91285              1
   1731           1731        4400.95        20.6454              1
   1732           1732        4389.36        11.5908              2
   1738           1738        4378.78         10.578              1
   1745           1745        4368.83        9.94951              2
   1753           1753        4363.33        5.50457              3
   1762           1762        4360.16        3.16507              2
   1782           1782        4348.84        11.3172              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   1783           1783        4345.38        3.46593              3
   1793           1793        4342.36        3.02037              2
   1799           1799        4339.83        2.53019              2
   1809           1809        4335.56        4.26672              1
   1814           1814        4333.32        2.24124              2
   1819           1819        4332.86       0.460041              1
   1824           1824        4329.33         3.5262              1
   1829           1829        4326.25        3.08008              1
   1831           1831        4311.26        14.9939              1
   1832           1832        4292.41         18.854              1
   1833           1833         4282.3        10.1046              1
   1839           1839        4279.82        2.48114              2
   1846           1846         4279.3       0.517224              2
   1852           1852        4277.27        2.03479              1
   1862           1862        4268.05        9.22197              1
   1868           1868        4263.11        4.93579              1
   1880           1880         4263.1      0.0112026              1
   1889           1889        4254.58        8.51924              1
   1891           1891        4249.52         5.0568              1
   1898           1898        4248.71       0.815645              1
   1911           1911        4216.25        32.4541              3
   1913           1913           4198        18.2511              1
   1915           1915        4181.24        16.7659              1
   1920           1920        4178.81        2.42872              1
   1921           1921        4176.97        1.84267              1
   1923           1923        4166.62        10.3435              3
   1941           1941        4163.11        3.51042              1
   1945           1945        4145.93        17.1794              1
   1950           1950        4133.66        12.2672              1
   1961           1961        4121.93        11.7375              2
   1966           1966        4120.28        1.64902              1
   1978           1978        4118.82        1.46266              3
   1989           1989        4114.87        3.95026              2
   1996           1996        4099.61        15.2523              3
   2001           2001        4092.07         7.5436              2
   2003           2003        4089.04        3.02425              1
   2004           2004        4074.88        14.1674              4
   2005           2005        4074.48       0.399946              1
   2014           2014        4072.49        1.98654              2
   2026           2026        4056.92        15.5743              1
   2027           2027        4046.36         10.554              2
   2032           2032        4039.63        6.73364              1
   2034           2034        4030.09        9.54349              1
   2039           2039        4018.22        11.8626              1
   2042           2042        4015.64        2.58346              1
   2043           2043        4002.62        13.0233              1
   2044           2044        3990.05        12.5623              1
