Gen:        Fevals:          Best:   Improvement:     Mutations:
   1706           1706        -120.23     0.00343896              2
   1709           1709       -120.237     0.00699159              1
   1721           1721       -120.243      0.0064116              1
   1726           1726       -120.261      0.0183128              1
   1729           1729       -120.282      0.0211544              2
   1732           1732       -120.285     0.00212718              1
   1741           1741       -120.288      0.0034261              1
   1742           1742       -120.302      0.0142135              1
   1750           1750       -120.304     0.00157829              1
   1754           1754       -120.306     0.00252517              1
   1755           1755        -120.31     0.00381811              1
   1756           1756       -120.312       0.001674              1
   1758           1758        -120.32      0.0085174              1
   1761           1761       -120.348      0.0276083              1
   1766           1766       -120.352     0.00361845              1
   1769           1769       -120.352    0.000652033              1
   1770           1770        -120.36     0.00745681              1
   1773           1773       -120.362     0.00200306              2
   1796           1796       -120.365     0.00338653              1
   1808           1808       -120.387      0.0215042              1
   1810           1810        -120.39     0.00294045              2

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   1811           1811       -120.416      0.0262572              1
   1820           1820       -120.417     0.00122716              1
   1828           1828       -120.421     0.00407838              1
   1830           1830       -120.426     0.00473662              1
   1831           1831       -120.432     0.00607884              1
   1832           1832       -120.436     0.00452836              1
   1851           1851       -120.439     0.00211064              2
   1855           1855       -120.444     0.00586406              1
   1863           1863       -120.446     0.00116971              1
   1864           1864       -120.449     0.00373612              2
   1866           1866       -120.456     0.00710809              1
   1869           1869       -120.461     0.00431366              1
   1880           1880       -120.461    0.000549027              1
   1881           1881       -120.463     0.00219277              2
   1888           1888       -120.495       0.031855              3
   1890           1890       -120.516      0.0205937              1
   1893           1893       -120.522     0.00655498              1
   1899           1899       -120.523    0.000203436              1
   1900           1900       -120.526     0.00352123              1
   1902           1902       -120.527     0.00114258              1
   1904           1904       -120.529      0.0016475              1
   1910           1910       -120.539     0.00969453              1
   1915           1915       -120.539    0.000141484              1
   1916           1916       -120.546     0.00673535              1
   1918           1918       -120.548     0.00274032              2
   1926           1926       -120.551     0.00225739              1
   1928           1928       -120.553     0.00205784              1
   1930           1930       -120.553    0.000738223              1
   1940           1940       -120.558      0.0048656              1
   1942           1942       -120.572      0.0140672              2
   1947           1947       -120.573    0.000308198              1
   1948           1948       -120.575     0.00243154              1
   1955           1955       -120.586      0.0107218              1
   1964           1964       -120.593      0.0076837              1
   1967           1967       -120.597      0.0037822              1
   1968           1968       -120.602     0.00472846              1
   1970           1970       -120.609     0.00737308              2
